Date,Close
2020-01-01,151.49342830602245
2020-01-02,151.7168997036801
2020-01-03,153.5122767798815
2020-01-06,157.05833649269752
2020-01-07,157.09002974325085
2020-01-08,157.1217558293525
2020-01-09,160.7801814603673
2020-01-10,162.8150509186731
2020-01-13,162.3761021468032
2020-01-14,163.96122223397512
2020-01-15,163.5343868483502
2020-01-16,163.1029273412097
2020-01-17,164.08685188434174
2020-01-20,160.76029139502617
2020-01-21,157.8104557300001
2020-01-22,157.18588067151813
2020-01-23,155.6602184308493
2020-01-24,156.78871309603986
2020-01-27,155.47266494499743
2020-01-28,153.14805754232685
2020-01-29,156.57935508016996
2020-01-30,156.62780247919687
2020-01-31,157.26285888857274
2020-02-03,154.9133625161458
2020-02-04,154.32459706709545
2020-02-05,155.04644224651517
2020-02-06,153.24445509167057
2020-02-07,154.49585112836192
2020-02-10,153.7945737485243
2020-02-11,153.71118624893776
2020-02-12,153.00777302447895
2020-02-13,157.21232939349684
2020-02-14,157.68533494402098
2020-02-17,156.06991308610918
2020-02-18,158.21500291031555
2020-02-19,156.27331561037352
2020-02-20,157.191042800383
2020-02-21,153.77170255262345
2020-02-24,151.6153304548266
2020-02-25,152.50905292656483
2020-02-26,154.48598608655567
2020-02-27,155.3287226489356
2020-02-28,155.59742608415914
2020-03-02,155.49521869298056
2020-03-03,153.0381747122457
2020-03-04,152.09848629545627
2020-03-05,151.67720875353672
2020-03-06,154.29145320597453
2020-03-09,155.47868978511147
2020-03-10,152.45260947438598
2020-03-11,153.6007774131756
2020-03-12,153.33061285234294
2020-03-13,152.47676885173104
2020-03-16,154.20012142941277
2020-03-17,156.76212047440467
2020-03-18,159.12468071263706
2020-03-19,157.9462456661918
2020-03-20,157.82782091448937
2020-03-23,158.99034777729648
2020-03-24,161.4414380315412
2020-03-25,160.98308955585063
2020-03-26,161.111771602523
2020-03-27,159.39910165451093
2020-03-30,157.50668840634958
2020-03-31,159.631740051138
2020-04-01,162.84422010827964
2020-04-02,163.20019986511898
2020-04-03,165.707265660903
2020-04-06,166.9305377109983
2020-04-07,166.14029820178803
2020-04-08,167.36308941280487
2020-04-09,170.9391625457368
2020-04-10,171.3675104675169
2020-04-13,174.9967977791449
2020-04-14,170.25730757096542
2020-04-15,172.40111257971586
2020-04-16,173.0752067161922
2020-04-17,172.97719201526047
2020-04-20,173.6607135683315
2020-04-21,170.1855757391297
2020-04-22,170.24623196345468
2020-04-23,171.46045710647817
2020-04-24,174.9162451959612
2020-04-27,174.3797047594139
2020-04-28,173.2627175536275
2020-04-29,172.75920346645844
2020-04-30,175.0900077018626
2020-05-01,176.24750992118197
2020-05-04,175.6879895136479
2020-05-05,177.2145243798746
2020-05-06,177.9086794785707
2020-05-07,180.34596945963645
2020-05-08,179.44186327188174
2020-05-11,179.28653897868622
2020-05-12,179.0023226724219
2020-05-13,176.57529277615765
2020-05-14,177.66753333028683
2020-05-15,178.6896438746466
2020-05-18,179.19987078793153
2020-05-19,179.23069652118122
2020-05-20,176.8999550370804
2020-05-21,176.55866439154968
2020-05-22,176.37323535849615
2020-05-25,175.2686808200529
2020-05-26,175.44610939672089
2020-05-27,176.75421111034996
2020-05-28,181.026582912771
2020-05-29,181.8757385384347
2020-06-01,182.89083931988023
2020-06-02,183.24194748834788
2020-06-03,179.9044050577498
2020-06-04,180.35137730685136
2020-06-05,180.97183772673344
2020-06-08,186.398321951704
2020-06-09,186.51360002214176
2020-06-10,187.61669470680897
2020-06-11,188.0472711673985
2020-06-12,186.20991509215943
2020-06-15,188.99556072118946
2020-06-16,190.99942678656302
2020-06-17,193.0814906806491
2020-06-18,191.76271577105962
2020-06-19,195.06830439293182
2020-06-22,192.76460226734727
2020-06-23,194.4383164549478
2020-06-24,199.31922770656774
2020-06-25,197.8381550563064
2020-06-26,197.20555959710083
2020-06-29,197.90486232727613
2020-06-30,197.39791101904373
2020-07-01,194.79658415691145
2020-07-02,195.4337101065235
2020-07-03,193.80910267907132
2020-07-06,195.25628754034167
2020-07-07,193.91743907187407
2020-07-08,197.51730788190915
2020-07-09,196.45080129723667
2020-07-10,196.3066782648253
2020-07-13,198.43371269956464
2020-07-14,196.47198406669673
2020-07-15,197.426903935905
